1089746201	20220317	202203	2022	2022.2110	AFR	AFRICA	AFR								SYC	SEYCHELLES	SYC								0	043	043	04	1	2.8	2	1	2	2.04778156996587	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Niger	NG	NG		16	8	NG	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746202	20220317	202203	2022	2022.2110	AFR	AFRICA	AFR								SYC	SEYCHELLES	SYC								0	043	043	04	1	2.8	8	1	8	2.04778156996587	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Seychelles	SE	SE		-4.583333	55.666667	SE	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746203	20220317	202203	2022	2022.2110	AFR	AFRICA	AFR								TZA	TANZANIA	TZA								0	043	043	04	1	2.8	2	1	2	2.04778156996587	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Seychelles	SE	SE		-4.583333	55.666667	SE	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746204	20220317	202203	2022	2022.2110	AFR	AFRICA	AFR								TZA	TANZANIA	TZA								0	043	043	04	1	2.8	8	1	8	2.04778156996587	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Tanzania	TZ	TZ		-6	35	TZ	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746205	20220317	202203	2022	2022.2110	AFR	AFRICA	AFR								UGA	UGANDA	UGA								0	043	043	04	1	2.8	2	1	2	2.04778156996587	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Tanzania	TZ	TZ		-6	35	TZ	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746206	20220317	202203	2022	2022.2110	AFR	AFRICA	AFR								UGA	UGANDA	UGA								0	043	043	04	1	2.8	8	1	8	2.04778156996587	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Uganda	UG	UG		2	33	UG	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746207	20220317	202203	2022	2022.2110	AFR	AFRICA	AFR								ZMB	ZAMBIA	ZMB								0	043	043	04	1	2.8	2	1	2	2.04778156996587	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Uganda	UG	UG		2	33	UG	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746208	20220317	202203	2022	2022.2110	AFR	AFRICA	AFR								ZMB	ZAMBIA	ZMB								0	043	043	04	1	2.8	8	1	8	2.04778156996587	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Zambia	ZA	ZA		-15	30	ZA	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746209	20220317	202203	2022	2022.2110	BUS	BUSINESS						BUS													1	040	040	04	1	1.0	5	1	5	2.18818380743983	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	0								4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	20230317141500	https://www.thezimbabwemail.com/business/mambondiani-breaks-silence-on-bancabc-departure/
1089746210	20220317	202203	2022	2022.2110	EDU	UNIVERSITY						EDU													1	043	043	04	1	2.8	10	1	10	4.22960725075529	1	Sudan	SU	SU		16	30	SU	0								1	Sudan	SU	SU		16	30	SU	20230317141500	https://www.bbc.co.uk/news/uk-wales-64987582
1089746211	20220317	202203	2022	2022.2110	EDU	SCHOOL						EDU			USA	ARIZONA	USA								0	043	043	04	1	2.8	2	1	2	-5.3248136315229	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20230317141500	https://mynorthwest.com/3859613/texas-florida-push-border-laws-as-governors-eye-presidency/
1089746212	20220317	202203	2022	2022.2110	EDU	SCHOOL						EDU			USA	ARIZONA	USA								0	043	043	04	1	2.8	2	1	2	-5.3248136315229	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20230317141500	https://mynorthwest.com/3859613/texas-florida-push-border-laws-as-governors-eye-presidency/
1089746213	20220317	202203	2022	2022.2110	ETH	ETHIOPIA	ETH								AFR	AFRICA	AFR								0	042	042	04	1	1.9	10	1	10	2.04778156996587	1	Ethiopia	ET	ET		8	38	ET	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746214	20220317	202203	2022	2022.2110	GHA	GHANA	GHA								AFR	AFRICA	AFR								0	042	042	04	1	1.9	2	1	2	2.04778156996587	1	Ethiopia	ET	ET		8	38	ET	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746215	20220317	202203	2022	2022.2110	GHA	GHANA	GHA								AFR	AFRICA	AFR								0	042	042	04	1	1.9	8	1	8	2.04778156996587	1	Ghana	GH	GH		8	-2	GH	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746216	20220317	202203	2022	2022.2110	KEN	KENYA	KEN								AFR	AFRICA	AFR								0	042	042	04	1	1.9	2	1	2	2.04778156996587	1	Ghana	GH	GH		8	-2	GH	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746217	20220317	202203	2022	2022.2110	KEN	KENYA	KEN								AFR	AFRICA	AFR								0	042	042	04	1	1.9	8	1	8	2.04778156996587	1	Kenya	KE	KE		1	38	KE	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746218	20220317	202203	2022	2022.2110	LSO	LESOTHO	LSO								AFR	AFRICA	AFR								0	042	042	04	1	1.9	2	1	2	2.04778156996587	1	Kenya	KE	KE		1	38	KE	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746219	20220317	202203	2022	2022.2110	LSO	LESOTHO	LSO								AFR	AFRICA	AFR								0	042	042	04	1	1.9	8	1	8	2.04778156996587	1	Lesotho	LT	LT		-29.5	28.25	LT	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
